Ticker,Date,BookValueofEquity/TotalLiabilities,EBIT/TotalAssets,RetainedEarnings/TotalAssets,Working Capital/Total Assets
AFL,2014-12-31,0.181357285,0.009464502,0.1865553,-0.010724788
AFL,2015-03-31,0.172661141,0.009897821,0.199444545,-0.002041858
AFL,2015-06-30,0.172205589,0.007943468,0.199659444,0.009033247
AFL,2015-09-30,0.17611489,0.009876877,0.203008727,0.01783419
AFL,2015-12-31,0.185818367,0.00958784,0.192265548,0.003514237
AFL,2016-03-31,0.189915528,0.006688513,0.176548444,0.000339734
AFL,2016-06-30,0.187815292,0.007272677,0.176293017,0.015239311
AFL,2016-09-30,0.187329083,0.009151203,0.200132492,0.016831126
AFL,2016-12-31,0.179507546,0.007182941,0.197530864,0.012630004
AFL,2017-03-31,0.188803329,0.008168752,0.198989615,0.021226938
AFL,2017-06-30,0.192601616,0.00833315,0.20200172,0.03113541
AFL,2017-09-30,0.218417851,0.007710415,0.217866591,0.035753587
AFL,2017-12-31,0.197344579,0.007044165,0.204830479,0.014760173
AFL,2018-03-31,0.20137749,0.008345893,0.216986182,0.028094319
AFL,2018-06-30,0.202550847,0.008692122,0.228075772,0.041336513
AFL,2018-09-30,0.200625941,0.005555318,0.226400581,0.057832286
AFL,2018-12-31,0.217746385,0.00892373,0.223182477,0.041385512
AFL,2019-03-31,0.229305207,0.007701453,0.218824306,0.041406869
AFL,2019-06-30,0.236072462,0.007091094,0.218701545,0.042566029
AFL,2019-09-30,0.233900605,0.007292103,0.224464548,0.052772832
AFL,2019-12-31,0.210855016,0.005111598,0.228201509,0.054789732
AFL,2020-03-31,0.230443263,0.007212564,0.224105114,0.064448363
AFL,2020-06-30,0.25280208,0.007554907,0.232735858,0.076269765
AFL,2020-09-30,0.255149133,0.00774142,0.230086137,0.074524793
AFL,2020-12-31,0.254676567,0.010527514,0.248341838,0.073894927
AFL,2021-03-31,0.264055981,0.008885889,0.248693434,0.068436827
AFL,2021-06-30,0.264095399,0.007285317,0.254238871,0.074241736
AFL,2021-09-30,0.267545801,0.008181945,0.262666464,0.074792754
AFL,2021-12-31,0.251252989,0.009180801,0.288433551,0.079668947
AFL,2022-03-31,0.241546292,0.012998695,0.321074401,0.093357615
AFL,2022-06-30,0.232346943,0.010835285,0.350444965,0.098212334
AFL,2022-09-30,0.180469184,0.004501359,0.336782098,0.116382517
AFL,2022-12-31,0.171762949,0.01029889,0.337529452,0.104781945
AFL,2023-03-31,0.185493752,0.014361613,0.359323565,0.103187727
AFL,2023-06-30,0.221286191,0.014818841,0.385713486,0.106049828
AFL,2023-09-30,0.209902711,0.002659323,0.378720684,0.124506802
AFL,2023-12-31,0.232567561,0.017772683,0.39980119,0.114516362
AFL,2024-03-31,0.276739516,0.017217562,0.427276812,0.075336196
AFL,2024-06-30,0.239644057,0.001105557,0.396848383,0.123791283
AIG,2014-12-31,0.262722595,0.002967526,0.057750383,0.054660664
AIG,2015-03-31,0.262813641,0.008006514,0.06159581,0.052079792
AIG,2015-06-30,0.258155398,0.006139372,0.066093842,0.063872216
AIG,2015-09-30,0.247583046,0.001097642,0.065982051,0.057684991
AIG,2015-12-31,0.22184678,-0.004230721,0.062279356,0.057203296
AIG,2016-03-31,0.215329614,0.000650388,0.060456226,0.055668815
AIG,2016-06-30,0.21566082,0.005952789,0.062606177,0.05397091
AIG,2016-09-30,0.209601249,0.00219213,0.062337728,0.056439576
AIG,2016-12-31,0.182384684,-0.008507538,0.057622064,0.05810775
AIG,2017-03-31,0.175482673,0.004586514,0.059162831,0.053620627
AIG,2017-06-30,0.174699956,0.004107955,0.060868974,0.053489461
AIG,2017-09-30,0.169771265,-0.004810435,0.056431174,0.053868922
AIG,2017-12-31,0.15189335,0.002159337,0.043060319,0.045586904
AIG,2018-03-31,0.145385579,0.00305123,0.04541985,0.053898382
AIG,2018-06-30,0.142051619,0.003536428,0.046933653,0.047770963
AIG,2018-09-30,0.13277823,-0.002301628,0.04307927,0.054516103
AIG,2018-12-31,0.131843331,-0.000182933,0.042448535,0.053743618
AIG,2019-03-31,0.137730714,0.003008255,0.041446848,0.049233607
AIG,2019-06-30,0.144914987,0.001616185,0.04227132,0.045556983
AIG,2019-09-30,0.147363752,0.003602972,0.042731023,0.04413641
AIG,2019-12-31,0.1473373,0.001624564,0.043964164,0.041770146
AIG,2020-03-31,0.137847332,0.006824989,0.047136306,0.043118495
AIG,2020-06-30,0.124006554,-0.001399749,0.027831637,-0.037506937
AIG,2020-09-30,0.126032191,0.001061968,0.027437936,-0.038497653
AIG,2020-12-31,0.129407528,-0.000959963,0.026435639,-0.039290275
AIG,2021-03-31,0.122035981,0.008870788,0.032719588,-0.02420986
AIG,2021-06-30,0.125922664,0.000952779,0.031650648,-0.027520267
AIG,2021-09-30,0.124086019,0.004357767,0.034162744,-0.02118191
AIG,2021-12-31,0.130713202,0.005079582,0.03990022,-0.032049346
AIG,2022-03-31,0.112731612,0.010331065,0.048410411,-0.012814008
AIG,2022-06-30,0.095148685,0.005263871,0.056685556,-0.000604893
AIG,2022-09-30,0.085076494,0.0084925,0.06312293,0.00218384
AIG,2022-12-31,0.090760985,0.002424228,0.066815644,0.010543288
AIG,2023-03-31,0.094440173,0.00090752,0.06464453,0.00325552
AIG,2023-06-30,0.094754477,0.001684856,0.066865498,0.005317069
AIG,2023-09-30,0.090345551,0.007614267,0.072267464,0.006745654
AIG,2023-12-31,0.105123923,-0.001948801,0.069563476,0.004839553
AIG,2024-03-31,0.099209917,0.001433505,0.070693835,-0.007281469
